# w, T, (E-E0)/nat ; Tmax: 2000 K 
1.803612510138440442e-02 3.253018086727885816e+02 1.223904625000038493e-02
2.673292827554962434e-02 7.146494541856807245e+02 2.674842328125048851e-02
4.164901133681610940e-02 1.734640145334236877e+03 6.588259812500041335e-02
4.374131398783043245e-02 1.913302549381969811e+03 7.411498562500007381e-02
2.093523005127881018e-02 4.382838572999674511e+02 1.599927343750007225e-02
2.872906514170137093e-02 8.253591839161207417e+02 2.487036093750027987e-02
2.861405806886893610e-02 8.187643191686033788e+02 3.039707312500006253e-02
6.784721330325332693e-03 4.603244353017154822e+01 2.149800625000253262e-03
2.948282582963009449e-02 8.692370189003033829e+02 2.756487671874996437e-02
1.308435291348329123e-02 1.712002911645786867e+02 5.592339375000143775e-03
4.077519384611471426e-02 1.662616433188230758e+03 5.750039468750056670e-02
2.903886269459357225e-02 8.432555465954583269e+02 2.550188500000061254e-02
3.382268934153583040e-02 1.143974314294041505e+03 4.058690437500001025e-02
2.794067818936794845e-02 7.806814976818217247e+02 2.709903656250034487e-02
4.146395818469573308e-02 1.719259828342196215e+03 5.726036718750027177e-02
4.354959434378632976e-02 1.896567167508346529e+03 6.202093468750025096e-02
4.215635800061823257e-02 1.777158519876289120e+03 6.898623859374986012e-02
3.228909349021642783e-02 1.042585558419937115e+03 3.282813218750035844e-02
2.723943761506652378e-02 7.419869615851010849e+02 2.547469328125018251e-02
2.101797362714013379e-02 4.417552153911581172e+02 1.370175343750013042e-02
4.306282043208864430e-02 1.854406503566311358e+03 5.471157281249983129e-02
2.821724995586583420e-02 7.962131950718105600e+02 2.709006250000012272e-02
3.388468608102977730e-02 1.148171950809933151e+03 3.652634609375038366e-02
3.192471744096105069e-02 1.019187583685202640e+03 3.791070921875050459e-02
4.232890073139478071e-02 1.791735837128273715e+03 6.235937046875061895e-02
1.305936358422231727e-02 1.705469772249119558e+02 6.849613906250162643e-03
3.829175120108534863e-02 1.466258210045820988e+03 5.710568453125031141e-02
4.250389601672738271e-02 1.806581176600773460e+03 6.587915062500027119e-02
1.755167664640390826e-02 3.080613530999203249e+02 1.280798343749989243e-02
1.832111352279020347e-02 3.356632007149660240e+02 1.552506859375046844e-02
